tradingDay,logR,buyP,sellP,ideal
20100104,0.014363351415591204,,,
20100105,-0.029273312997477024,,,
20100106,-0.017410690259793943,,,
20100107,-0.0399348881155201,,,
20100108,-0.026777334113016152,,,
20100111,-0.021801944599716884,,,
20100112,0.030320647885770723,,,
20100113,-0.02323280363014672,,,
20100114,0.018937547340037168,,,
20100115,0.01573652877318625,,,
20100118,-0.0013509120709562367,,,
20100119,-0.008792541350174573,,,
20100120,-0.037939694008778654,,,
20100121,-0.00476935531537833,,,
20100122,-0.0066772432533252005,,,
20100125,-0.019221556150721672,,,
20100126,-0.014379896911467141,,,
20100127,-0.025665560750967088,,,
20100128,0.003681216002472367,,,
20100129,-0.010887049437066823,,,
20100201,-0.02425785711023248,,,
20100202,0.006111287980848793,,,
20100203,0.03223289357313434,,,
20100204,0.004711881629797696,,,
20100205,-0.019327580148945173,,,
20100208,0.0013430976404237036,,,
20100209,-0.0056811069719683895,,,
20100210,0.02093531889211327,,,
20100211,0.009729514395800564,,,
20100212,0.007002425690784853,-3.4135243680689773,3.136591608236366,0.07177434297952616
20100222,-0.012028047812941265,-4.061254444547855,3.788264712327453,0.15784606397293416
20100223,0.03001306797927765,-2.5910093930990388,2.3186859786456755,0.21158038964767265
20100224,0.01187323336580313,-1.6554937704673707,1.3805002912095377,0.2447013308468608
20100225,0.008337149186901628,-0.9880040445087168,0.7231077187999667,0.2632586639175476
20100226,0.018783480691678088,0.322431287975877,-0.5850803945513187,0.253013386303173
20100301,0.004065723732726964,0.8001683682508439,-1.0587956393956175,0.23230615494791715
20100302,-0.010510037459691505,-0.2828041879049709,0.029299260359118694,0.2354857879512763
20100303,0.008153668316251072,0.4412844683973531,-0.6904652039022637,0.2227873608204756
20100304,-0.016328588762117072,-0.2717599206625394,0.02486853567386807,0.2258033824551874
20100305,0.015054116038662753,0.8300288114681381,-1.100973592989457,0.2042914112246325
20100308,0.00869905328230129,1.416988731383631,-1.6903247952149845,0.1698376263682164
20100309,0.0016206859787031495,1.172504453430547,-1.4508369194853037,0.14070253880008726
20100310,-0.03126365467694442,1.047843905550094,-1.3172371891903556,0.11441725347430208
20100311,-0.02375185524136458,0.6599786338030943,-0.9319373956776514,0.09663421838813932
20100312,-0.010858743334875944,0.16878607508647836,-0.4429298634964483,0.08963119927531715
20100315,-0.017817798372974602,0.11923021629932813,-0.3919001782938151,0.08373609497279809
20100316,0.0009695298540030973,0.1518599275984601,-0.4244754733906801,0.07712379001612532
20100317,0.027188033022672097,1.641014857537097,-1.9089438017478857,0.037806315819779716
20100318,-0.0077942967659427485,1.459890446004,-1.7284992489014197,0.002465420372922689
20100319,0.006171914491250236,2.106278124447575,-2.3754456054999533,0.0
20100322,0.0012651992977214645,2.5170520129986294,-2.7809091819869236,0.0
20100323,-0.014844638460622676,2.4137735590468243,-2.6867603742355333,0.0
20100324,0.009407609349066032,2.6972501358672822,-2.96887969566074,0.0
20100325,-0.024357243832760368,1.880263544999788,-2.1538532163101936,0.0
20100326,0.009804775706076269,2.8586402821430448,-3.1317005521579535,0.0
20100329,0.02473066064702285,3.5853126592687286,-3.855873377663507,0.0
20100330,0.011922641993943198,3.070902576287076,-3.3597257149565047,0.0
20100331,-0.01115094129753447,2.6556215990594367,-2.9441264548463155,0.0
20100401,0.021896512020077447,3.76405900273634,-4.076656995902146,0.0
20100402,0.010072105616538532,3.677329787968366,-3.991982159617032,0.0
20100406,0.0014289785236914995,3.914609477712556,-4.227275066211553,0.0
20100407,-0.007763054686689127,3.5575315301964987,-3.867777831121777,0.0
20100408,-0.01982624757513626,2.4029505146788743,-2.7221985045107178,0.0
20100409,0.009672074321627762,1.9676742271485408,-2.2972350572235167,0.0
20100412,-0.019555977716688256,1.3814120351032273,-1.7109002869265455,0.0
20100413,0.0003719308251548688,1.386333869980272,-1.715794584221385,0.0
20100414,0.015942244420752216,1.8635220693742969,-2.191371299204784,0.0
20100415,-0.00438158513968955,1.68660769238548,-2.0145414089830838,0.0
20100416,-0.008548433969959402,2.0695557086791085,-2.4018535418394062,0.0
20100419,-0.05937321764935076,0.7826369117587298,-1.1213280916568735,0.0
20100420,-0.02086210834807065,-0.12921579726366111,-0.213267972923151,0.0
20100421,0.026072148398006256,0.6733720056483754,-1.0167983551297268,0.0
20100422,-0.013160217030115964,0.7473352042634615,-1.084945676576362,0.0
20100423,-0.01763356142134091,0.8969281714671188,-1.234391529599297,0.0
20100426,0.017008531364744568,1.230035100597528,-1.5681298797852001,0.0
20100427,-0.012937327489196696,0.9119109992232424,-1.2505718753234398,0.0
20100428,0.013970950191154605,1.3762321026292177,-1.714771497764067,0.0
20100429,-0.01574124588231191,0.5863021578514079,-0.9217078844647464,0.0
20100430,-0.007784218569214294,0.4598335509068633,-0.7950271641154829,0.0
20100504,-0.01932248258410283,0.35066284942742604,-0.6940172388160127,0.0
20100505,0.0033135042763472373,0.20807258898105047,-0.5532331990745145,0.0
20100506,-0.03554531570895658,-0.5376527084620187,0.19348116127371484,0.007698301019904766
20100507,-0.032121412925332674,-1.3852979734705304,1.0425501878279142,0.03406188300854504
20100510,-0.00016201312341734367,-1.1155026487576176,0.7758427022934327,0.054527021923642414
20100511,-0.02586770273844435,-1.8438852350275976,1.5060892085929771,0.0910389447770341
20100512,0.0030423673036648912,-2.147751637705221,1.8144156834694083,0.13428944935571924
20100513,0.047368201278273785,-0.6375708384240322,0.29473601809002964,0.1442019899570399
20100514,-0.014178035013736372,-0.7039997574503303,0.3611471690057551,0.15557575355961226
20100517,-0.06874683032898825,-2.639830829008273,2.3038469838403377,0.20962022565577906
20100518,0.017634592531809185,-2.2908503788051444,1.9543743195661296,0.25598122127862405
20100519,-0.0012157387109164313,-2.3394149040545784,2.0030902266599795,0.3034124530390896
20100520,-0.016796270917587362,-2.8574686396830966,2.521571891918444,0.36224600213894187
20100521,0.029108215305603074,-2.0229734431029485,1.6861080404955229,0.4027090330559177
20100524,0.03821155027351547,-1.4110849914952854,1.0713035164096436,0.4296755251677863
20100525,-0.010971972551369865,-1.8451959041946595,1.5012940840790865,0.4661430132186819
20100526,-0.003717902843426393,-2.1558585570282265,1.8106850603409632,0.5094298195130558
20100527,0.0053934292767079395,-2.2456544079977507,1.9022432291130549,0.5547132823423899
20100528,-0.002940318502820922,-2.3717768394506638,2.0283689424033566,0.6027714780457368
20100531,-0.03432439968399055,-2.9497730688394084,2.6078970211726835,0.6635639729882031
20100601,-0.029243451969668467,-3.1634045105290443,2.8423777304818167,0.7293065508592754
20100602,0.024209569114385928,-2.5877935438594952,2.2628796054531155,0.7823390415633077
20100603,-0.01565388524025718,-3.587236803774813,3.268731989281892,0.8574361934724386
20100604,2.5999662005940063e-05,-3.6263052899032933,3.30733644915714,0.9333872837613572
20100607,-0.02394336834395517,-4.155760826981093,3.840742138502863,1.0
20100608,0.017511769991065684,-3.8136008319921615,3.4984557846657705,1.0
20100609,0.017651295232095982,-3.2520511042169256,2.9353425363696366,1.0
20100610,-0.010893115134637293,-3.6129154381676853,3.2982971453505248,1.0
20100611,0.006590236608356935,-3.5433140936829037,3.2257558629637755,1.0
20100617,0.0025587236727737466,-3.6585101062604624,3.338275525701406,1.0
20100618,-0.037661369561683686,-4.372399886748092,4.057605811974814,1.0
20100621,0.01683450127479796,-4.178634048422202,3.860808142949234,1.0
20100622,0.007085836062913174,-3.150534858020676,2.8307782582890617,1.0
20100623,-0.0024560135336407648,-3.0088919417075903,2.693916810540669,1.0
20100624,0.0007846920486507036,-3.01491158804396,2.6999271081770124,1.0
20100625,-0.0017465242860108233,-2.912023169431305,2.5998672113119667,1.0
20100628,0.003922297723369639,-2.8335961860447765,2.5212327937786254,1.0
20100629,-0.03668058201970513,-4.3980519221498,4.104480359025663,1.0
20100630,-0.01162227777779104,-4.6361405443848005,4.344812734994228,1.0
20100701,0.0015787531132145456,-3.7430259329154216,3.4772438999898974,1.0
20100702,-0.002683597629201779,-4.397125593356125,4.134409873864823,1.0
20100705,2.0999779503135708e-05,-4.695844908651456,4.430615642114086,1.0
20100706,0.016189244138105918,-4.122995655401716,3.855835182001664,1.0
20100707,0.011219821738222365,-4.645829977635902,4.38396650890823,1.0
20100708,0.018915959812917032,-5.002544176837816,4.753144665681645,1.0
20100709,0.03413665736950505,-3.1608102621821432,2.9010667881912404,1.0
20100712,0.01844680662579904,-2.487709972455592,2.2262168738176005,1.0
20100713,0.001431974235330266,-2.6086698569888527,2.347517127776753,1.0
20100714,0.008939919569471223,-1.8002184786345166,1.5315981553768403,1.0
20100715,-0.011999709395559095,-1.7531841458030009,1.493188503890826,1.0
20100716,0.0034440624025550487,-1.392758204280302,1.1377556554952364,1.0
20100719,0.02671398287836916,-1.4598784841946837,1.1998439878650102,1.0
20100720,0.01590386050183784,-0.6873275801608596,0.4284347281271286,1.0
20100721,0.016374207957545867,0.14999864932869844,-0.4121204898899107,0.9935545676280342
20100722,0.007323120379781322,-0.4019256951741875,0.10305140384314657,0.9988104414258938
20100723,-0.007829571254378144,-1.0777457452863817,0.7798662889416806,1.0
20100726,0.00673526707991049,-0.998671303253286,0.7021803387761518,1.0
20100727,-0.00979784248011106,-1.359408981496626,1.062070215757457,1.0
20100728,0.025509839545049453,-0.9354647913847,0.6364004130074333,1.0
20100729,0.023613005634204043,0.1001461928009354,-0.4057851274237675,0.9941291165429056
20100730,-0.004843711855019914,0.4635347063309871,-0.7596424684554026,0.9803780598581308
20100802,0.018540065894978967,0.5758805097638754,-0.8709988510106303,0.9641672685483644
20100803,-0.029006654703055662,-0.3899470778885569,0.09475612222548124,0.9692038127939556
20100804,0.012555844443791594,0.4275190103935421,-0.7295181679583123,0.9561744046745206
20100805,0.002194590124518826,0.8411629405213239,-1.1480515063802843,0.933986157192744
20100806,0.012349430907861598,1.2365029844240871,-1.542837036290664,0.9031070829130152
20100809,-0.0009854854312927417,1.0803693187572432,-1.3870569722568438,0.8756587060583605
20100810,-0.02117665083432408,0.7764885510944648,-1.0770498199932534,0.8549692227074969
20100811,0.0055068096530731725,0.8306605274155094,-1.1325337509166569,0.8330722124223419
20100812,-0.01472995508050372,0.7725463953309876,-1.0797531937181013,0.8123897101444149
20100813,0.015738497544535168,1.4861660369952243,-1.7946503848644608,0.7759922451560891
20100816,0.022691587484106417,1.8294079925983813,-2.139599766960119,0.7320229680265837
20100817,0.014221394879683847,1.7249631982490203,-2.036187595289568,0.6903390849006188
20100818,0.020995053328495092,1.874428003066935,-2.1868758810730977,0.6453522942970722
20100819,0.007496828426623019,0.8008543894771473,-1.1429215439119729,0.6236286918753571
20100820,-0.023809202911631137,-0.5795870852504746,0.2379316973076024,0.632279743095553
20100823,-0.0004320933388825541,-0.4590091482794706,0.11419533245655505,0.6382401785678264
20100824,0.0049099265587781785,-0.5090648723702761,0.16333268754961586,0.6452908195421246
20100825,-0.02781733946844297,-0.7938668135688298,0.43976829067594586,0.6585067071659243
